,DS,Data,601-T,602-T,603-T,604-T,701-T,702-T,703-T,704-T,801-M,802-T,803-T,804-T,901-M,902-M,903-M,904-T,905-T,1001-M,1002-M,1003-T,1004-T,1005-M,1006-T,2001-M,2002-M,2003-M,2004-M,2005-M,2006-T,3001-M,3002-M,3003-M,3004-M,3005-T,NEJA I-01,NEJA I-02,NEJA II-01,NEJA II-02,NEJA III-01,NEJA III-02,NEJA IV-01,NEJA IV-02
23,sex,2022-03-11,30.0,22.0,20.0,17.0,35.0,29.0,30.0,29.0,16.0,31.0,32.0,36.0,30.0,17.0,36.0,33.0,28.0,,,,,,,,33.0,,,24.0,16.0,,28.0,,,13.0,,,,,,,,
24,seg,2022-03-14,24.0,31.0,14.0,19.0,33.0,31.0,28.0,32.0,30.0,31.0,34.0,35.0,35.0,29.0,32.0,31.0,17.0,37.0,31.0,32.0,29.0,,28.0,22.0,22.0,25.0,,18.0,17.0,28.0,25.0,29.0,26.0,17.0,,,,,,,,
25,ter,2022-03-15,28.0,28.0,33.0,21.0,33.0,30.0,28.0,,31.0,35.0,36.0,35.0,33.0,27.0,32.0,35.0,26.0,38.0,32.0,36.0,27.0,36.0,27.0,23.0,25.0,31.0,33.0,20.0,21.0,35.0,31.0,29.0,26.0,17.0,,,,,,,,
26,qua,2022-03-16,31.0,32.0,30.0,20.0,33.0,29.0,29.0,30.0,34.0,34.0,31.0,32.0,33.0,27.0,30.0,38.0,26.0,36.0,32.0,35.0,30.0,32.0,29.0,31.0,29.0,30.0,32.0,24.0,13.0,33.0,34.0,28.0,25.0,13.0,,,,,,,,
27,qui,2022-03-17,30.0,31.0,31.0,19.0,31.0,35.0,29.0,29.0,29.0,37.0,34.0,36.0,33.0,31.0,29.0,37.0,24.0,35.0,35.0,34.0,29.0,29.0,27.0,26.0,27.0,31.0,31.0,22.0,20.0,29.0,30.0,39.0,26.0,5.0,,,,,,,,
28,sex,2022-03-18,,12.0,20.0,20.0,32.0,25.0,26.0,,30.0,28.0,29.0,28.0,33.0,19.0,33.0,33.0,6.0,39.0,19.0,27.0,30.0,38.0,24.0,27.0,26.0,14.0,28.0,25.0,15.0,38.0,27.0,39.0,22.0,10.0,,,,,,,,
29,seg,2022-03-21,23.0,31.0,24.0,16.0,25.0,36.0,25.0,26.0,29.0,32.0,35.0,33.0,31.0,22.0,26.0,38.0,28.0,34.0,33.0,28.0,24.0,33.0,28.0,22.0,20.0,25.0,23.0,21.0,16.0,29.0,28.0,25.0,22.0,13.0,,,,,,,,
30,ter,2022-03-22,,,,,30.0,32.0,32.0,,30.0,36.0,35.0,35.0,32.0,32.0,30.0,37.0,22.0,38.0,31.0,34.0,34.0,32.0,27.0,30.0,29.0,27.0,29.0,23.0,,33.0,35.0,31.0,28.0,14.0,,,,,,,,
31,qua,2022-03-23,30.0,26.0,15.0,9.0,30.0,33.0,29.0,28.0,32.0,34.0,,28.0,38.0,32.0,,33.0,25.0,42.0,37.0,34.0,31.0,33.0,22.0,30.0,28.0,27.0,28.0,25.0,15.0,33.0,31.0,34.0,27.0,11.0,,,,,,,,
32,qui,2022-03-24,33.0,28.0,32.0,20.0,38.0,37.0,31.0,27.0,30.0,35.0,,36.0,38.0,27.0,31.0,37.0,24.0,38.0,,32.0,34.0,30.0,20.0,31.0,29.0,26.0,34.0,,10.0,32.0,30.0,35.0,33.0,,,,,,,,,
33,sex,2022-03-25,23.0,28.0,25.0,17.0,30.0,30.0,26.0,23.0,,33.0,,30.0,30.0,31.0,30.0,34.0,17.0,36.0,25.0,31.0,31.0,27.0,26.0,26.0,20.0,35.0,23.0,22.0,,29.0,32.0,24.0,25.0,10.0,,,,,,,,
34,seg,2022-03-28,29.0,24.0,26.0,20.0,34.0,33.0,30.0,30.0,33.0,27.0,37.0,34.0,35.0,26.0,10.0,30.0,34.0,36.0,37.0,32.0,31.0,29.0,26.0,24.0,22.0,32.0,30.0,27.0,19.0,31.0,37.0,31.0,29.0,14.0,,,,,,,,
35,ter,2022-03-29,32.0,30.0,31.0,20.0,37.0,35.0,32.0,31.0,33.0,36.0,35.0,35.0,36.0,34.0,,37.0,31.0,36.0,36.0,38.0,31.0,35.0,26.0,29.0,23.0,30.0,33.0,24.0,18.0,31.0,30.0,28.0,31.0,15.0,,,,,,,,
36,qua,2022-03-30,32.0,26.0,32.0,16.0,38.0,38.0,34.0,32.0,27.0,32.0,37.0,36.0,34.0,27.0,21.0,40.0,30.0,39.0,36.0,35.0,29.0,28.0,26.0,,29.0,29.0,29.0,23.0,20.0,33.0,27.0,32.0,28.0,16.0,,,,,,,,
37,qui,2022-03-31,33.0,29.0,30.0,19.0,36.0,31.0,34.0,31.0,33.0,36.0,37.0,36.0,35.0,,30.0,37.0,32.0,38.0,34.0,32.0,31.0,33.0,27.0,28.0,24.0,35.0,29.0,9.0,22.0,31.0,,35.0,30.0,14.0,,,,,,,,
38,sex,2022-04-01,20.0,28.0,27.0,18.0,32.0,34.0,34.0,25.0,,32.0,36.0,35.0,36.0,27.0,29.0,37.0,22.0,36.0,24.0,31.0,30.0,28.0,23.0,29.0,12.0,,27.0,23.0,20.0,25.0,28.0,32.0,26.0,9.0,,,,,,,,
39,seg,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,
40,ter,2022-04-05,29.0,28.0,27.0,17.0,36.0,35.0,32.0,30.0,31.0,35.0,33.0,35.0,29.0,28.0,30.0,35.0,28.0,35.0,26.0,33.0,,32.0,23.0,30.0,22.0,,29.0,18.0,14.0,26.0,35.0,33.0,29.0,13.0,,,,,,,,
